id,employee_id,sale_amount,sale_date
1,97,19753,2026-01-22
2,346,41672,2026-01-12
3,462,43054,2026-02-08
4,292,4155,2026-01-21
5,251,3504,2026-01-16
6,238,41709,2026-05-17
7,332,26858,2026-05-23
8,379,48687,2026-04-02
9,391,43240,2026-05-10
10,184,29742,2026-04-06
11,67,38579,2026-03-04
12,160,16129,2026-04-03
13,499,24309,2026-04-04
14,61,38814,2026-04-03
15,486,42888,2026-04-23
16,9,33639,2026-02-27
17,289,26714,2026-04-22
18,299,41981,2026-02-14
19,489,4878,2026-05-09
20,70,28993,2026-02-23
21,435,16457,2026-03-20
22,62,36065,2026-04-13
23,445,42942,2026-04-18
24,274,46824,2026-02-07
25,169,44372,2026-05-13
26,322,23140,2026-02-16
27,477,43996,2026-04-01
28,187,29065,2026-02-13
29,453,48740,2026-04-25
30,318,12017,2026-02-14
31,30,13791,2026-05-13
32,224,22762,2026-01-24
33,238,7696,2026-06-08
34,108,30802,2026-04-25
35,2,8316,2026-02-09
36,114,10927,2026-03-03
37,55,15696,2026-05-13
38,279,27631,2026-04-02
39,67,11224,2026-05-14
40,255,23674,2026-04-02
41,292,1724,2026-03-21
42,205,39617,2026-02-08
43,286,14038,2026-02-20
44,239,32704,2026-02-03
45,255,44964,2026-04-16
46,461,2360,2026-04-01
47,114,44217,2026-03-22
48,452,36507,2026-05-31
49,362,48876,2026-05-19
50,289,14351,2026-04-21
51,127,33257,2026-02-10
52,269,40925,2026-04-12
53,494,22893,2026-05-19
54,385,30354,2026-01-01
55,312,27468,2026-06-16
56,78,45332,2026-02-18
57,395,27199,2026-05-27
58,96,24449,2026-06-15
59,102,18911,2026-03-14
60,150,8130,2026-04-28
61,239,33349,2026-03-03
62,175,32553,2026-05-09
63,158,23454,2026-01-08
64,332,27694,2026-02-15
65,256,42246,2026-05-03
66,191,17402,2026-02-13
67,233,12956,2026-01-04
68,44,12654,2026-03-10
69,86,19295,2026-05-07
70,130,28025,2026-04-20
71,91,23176,2026-02-08
72,175,28804,2026-05-05
73,224,8514,2026-01-01
74,95,5707,2026-02-21
75,244,5688,2026-02-02
76,361,44093,2026-05-29
77,430,40280,2026-05-14
78,332,16211,2026-04-06
79,200,33127,2026-01-31
80,385,17603,2026-03-31
81,335,11960,2026-01-17
82,203,34201,2026-05-14
83,125,48272,2026-01-16
84,471,25945,2026-01-16
85,395,10611,2026-03-20
86,67,7623,2026-05-01
87,495,49516,2026-02-12
88,98,26575,2026-04-18
89,430,22103,2026-06-04
90,322,10760,2026-01-04
91,182,11352,2026-05-19
92,463,16256,2026-05-04
93,329,7755,2026-03-14
94,290,21063,2026-01-18
95,20,11841,2026-04-19
96,295,36876,2026-06-12
97,381,10819,2026-05-27
98,292,15556,2026-05-28
99,338,25971,2026-06-01
100,465,2281,2026-01-03
101,465,48026,2026-02-19
102,481,27587,2026-03-09
103,204,32981,2026-01-11
104,360,26288,2026-06-18
105,21,19131,2026-03-16
106,174,15290,2026-05-16
107,176,5701,2026-01-25
108,490,37116,2026-03-31
109,164,24262,2026-01-28
110,435,13681,2026-05-30
111,119,37278,2026-04-23
112,373,46081,2026-06-17
113,276,46356,2026-05-06
114,46,7436,2026-02-27
115,320,15741,2026-01-22
116,481,31383,2026-04-20
117,412,48482,2026-03-30
118,495,28445,2026-02-16
